eventDate,paddockId,value,paddockSize
5/08/2014,928,1538,3.145816446
5/08/2014,926,1206,5.07119798
5/08/2014,925,1369,4.647761062
5/08/2014,924,1581,2.124841665
5/08/2014,923,1171,3.129891734
5/08/2014,920,1778,2.754501266
5/08/2014,917,1253,2.292311486
5/08/2014,915,1188,4.100257383
5/08/2014,897,1409,5.240167843
5/08/2014,896,1314,6.542587138
5/08/2014,893,994,4.73814061
5/08/2014,892,1042,2.923051995
5/08/2014,891,1306,3.058411991
5/08/2014,890,1157,2.918525691
5/08/2014,889,1210,3.555629809
5/08/2014,888,1134,2.431555744
5/08/2014,887,1129,5.679840426
5/08/2014,886,1119,5.030044973
5/08/2014,885,1123,3.667713163
5/08/2014,884,1157,3.042695608
5/08/2014,881,1323,3.308539222
5/08/2014,880,1152,2.215764453
5/08/2014,878,1020,2.163398011
5/08/2014,876,1350,5.326136969
5/08/2014,875,1587,2.297550985
5/08/2014,874,1198,2.441244515
5/08/2014,868,2189,2.125117523
5/08/2014,865,1162,2.24654384
5/08/2014,863,1126,3.725488777
5/08/2014,862,1085,2.52104187
5/08/2014,860,1311,7.023859853
30/08/2014,851,1036,5.074070584
30/08/2014,852,1110,3.344493897
30/08/2014,853,1497,3.998670166
30/08/2014,855,1151,4.494255067
30/08/2014,860,1316,7.023859853
30/08/2014,862,950,2.52104187
30/08/2014,863,1061,3.725488777
30/08/2014,865,1076,2.24654384
30/08/2014,868,1691,2.125117523
30/08/2014,895,1187,3.120765478
30/08/2014,896,1365,6.542587138
30/08/2014,897,1333,5.240167843
30/08/2014,900,1204,8.22600469
30/08/2014,903,1178,4.541210638
30/08/2014,904,1438,3.729966835
30/08/2014,908,1325,6.507007785
30/08/2014,909,1160,3.398476422
30/08/2014,910,1137,3.483488476
30/08/2014,912,1331,3.80418638
30/08/2014,913,1082,6.458700545
30/08/2014,915,1128,4.100257383
30/08/2014,917,1253,2.292311486
30/08/2014,918,1187,1.3796371
30/08/2014,919,1268,2.9301987
30/08/2014,920,1641,2.754501266
30/08/2014,921,1154,5.148090268
30/08/2014,922,1447,3.445599554
30/08/2014,923,1373,3.129891734
30/08/2014,924,1236,2.124841665
30/08/2014,925,1272,4.647761062
30/08/2014,926,1173,5.07119798
30/08/2014,927,1374,6.982018381
30/08/2014,928,1458,3.145816446
30/08/2014,929,1414,2.972386725
30/08/2014,930,1361,2.841997011
30/08/2014,931,1479,3.373327961
30/08/2014,932,1431,3.226488473
30/08/2014,933,1323,3.463323135
30/08/2014,934,1414,3.058029825
30/08/2014,935,1364,2.975802209
30/08/2014,936,1414,3.294614693
30/08/2014,937,1376,5.194722556
30/08/2014,938,1544,5.944417265
30/08/2014,939,1335,5.291838734
30/08/2014,940,1165,2.374920961
30/08/2014,941,1386,8.838684959
30/08/2014,944,1066,10.92204744
30/08/2014,945,999,7.274207882
